_id,firstName,lastName,email,phone,address,latitude,longitude
5c55d0d94af41e2156ade81c,Whitney,Love,whitneylove@myopium.com,+44 8820594071,"Cardiff University Talybont Court Residences, North Road, Cardiff CF, United Kingdom",51.494606 ,-3.191059
5c55d0d904079a3873945003,Tillman,Newton,tillmannewton@myopium.com,+44 5420785641,"Cosmeston Street, Cardiff CF, United Kingdom",51.495514,-3.185352
5c55d0d917d6e6cb2c82b5c6,Wall,Wyatt,wallwyatt@myopium.com,+44 5042637582,"Ladysmith Road, Cardiff CF, United Kingdom",51.49701 ,-3.16016
5c55d0d99f31e32c667826df,Janine,Gilliam,janinegilliam@myopium.com,+44 1712808146,"Ty Mawr Road, Cardiff CF, United Kingdom",51.504437, -3.134368
5c55d0d9f13567e7a093ebb5,Sampson,Patel,sampsonpatel@myopium.com,+44 9603021120,"Trowbridge Road, Cardiff CF, United Kingdom",51.509726, -3.109692
5c55d0d9a04c23128ffef6bc,Ollie,Santos,olliesantos@myopium.com,+44 1097980414,"Willowbrook Primary School, Sandbrook Road, Cardiff CF3 0ST, United Kingdom",51.521156 , -3.089393
5c55d0d9eed61a9c473e417d,Rivera,Bowen,riverabowen@myopium.com,+44 8855711204,"Broadway, Marshfield CF3 2UJ, United Kingdom",51.528472 ,-3.058623
5c55d0d9d338761075e49c4a,Whitley,Mooney,whitleymooney@myopium.com,+44 6796118065,"Coed y Ddylluan, Beauville Lane, St Andrew's Major CF64 4BA, United Kingdom",51.455515 , -3.23045
5c55d0d939a8b798154aa4b8,Maxwell,Mcclure,maxwellmcclure@myopium.com,+44 9802079613,"Hill fort, Church Road, Cardiff CF, United Kingdom",51.468442, -3.246406
5c55d0d9d5f7c8af1d098664,Kathryn,Mcguire,kathrynmcguire@myopium.com,+44 2029151502,"Copthorne Hotel Cardiff, Copthorne Way, Wenvoe CF5 6DH, United Kingdom",51.463469,-3.273056
5c55d0d96609156dada34ba2,Brianna,Sellers,briannasellers@myopium.com,+44 7276096393,"Grant's Field, St. Nicholas CF5 6SB, United Kingdom",51.462721, -3.281854
5c55d0d94f8948e9ffa56a7d,Allison,Harding,allisonharding@myopium.com,+44 2260343878,"Duffryn Lane, St. Nicholas CF5 6SL, United Kingdom",51.457747,-3.308333
5c55d0d9e4b6d34a697ee2e0,Fitzgerald,Mendoza,fitzgeraldmendoza@myopium.com,+44 1410565909,"Whitewell CF5 6TQ, United Kingdom",51.4486,-3.345134
5c55d0d9011cb61f397eccd5,Kemp,Conway,kempconway@myopium.com,+44 8845170827,"St. Brides-super-Ely CF5 6HD, United Kingdom",51.497177,-3.326349
